quijada	Kakichu.
quinua	Kinwa.
quipo, cifra	Kipu.
quishuar (arbusto serrano)	Kiswar.
quitar los retoños	Kituy.
quitar, restar, sustraer	Qichuy.
escoger, seleccionar	Akllay.
raíz	Sapi.
rama	Kallma.
rana	Kayra.
rápido	Utqay.
ratón, pericote	Ukucha.
rebalsar	Tasnuy.
rebelarse, defenderse	Kutipakuy.
recibir	Chaskiy.
recipiente grande	Maqma.
reciprocidad	Ayni.
reclamar con fuerza, levantamiento	Huqarikuy.
recoger, levantar, alzar	Pallay.
recordar	Yuyay.
red	Kullancha.
red	Lluku.
reflexionar	Hamutay.
regar	Parquy.
región, territorio	Suyu.
reír	Asiy.
reloj, medidor del tiempo	Inti watana.
remar	Nadar. Tuyuy.
remojar	Nuyuchiy.
remolino de viento	Muyuq wayra.
remolino de viento	Tutur.
remover, batir	Qaywiy.
renacuajo	Uqullu.
repetitivo	Kuti.
reprender, resondrar	Qaqchay.
reproducir, procrear	Mirachiy.
resbaladizo, liso	Lluchka.
resbalar	Lluchkay.
resfrío	Chulli.
respirar, echar el aliento	Samay.
resucitar	Kawsariy.
retaceado, con flecos	Chillpi.
retener algo en la boca	Amuy.
retirarse	Suchuy.
reunir, juntar	Huñuy.
riñón	Rurun.
río	Mayu.
robar	Suway.
roca	Qaqa.
rociar agua	Maqchiy, chaqchuy.
rocío	Sulla.
rodar, tumbar	Kuchpay.
rodilla	Muqu.
rodilla	Qunquri.
roer	Kutkuy.
rojo	Puka.
romadizo, resfriado	Rumasiru.
romper, quebrar	Pakiy.
romper, rasgar	Llikiy.
romperse, rajarse, reventarse	Panchiy.
roncar	Qurquryay.
ropa	Pacha.
rosetas de maíz	Pasanqalla.
rosetas de maíz	Taqi sara.
roto, quebrado	Pakisqa.
roturar, barbechar, voltear la grama	Chakmay.
rubio	Paqu.
rueca	Puchka.
ruiseñor	Chiqullu.
sabio	Yachaq.
saborear	Malliy.
sacar agua	Wisiy.
sal	Kachi.
salado	Puchqu.
salitre	Qullpa.
saliva	Tuqay.
salta	Chintay.
saludar	Napakuy.
sangre	Yawar.
sapo	Hampatu.
sarampión	Ruru unquy.
sarna	Qaracha.
sartén	Tiqtina.
sebo, grasa	Wira.
seco	Chaki.
sed	Yakunayay.
selva	Yunka.
sembrar	Ruruy.
sembrar, siembra	Tarpuy.
semen	Yuma.
semilla	Muhu.
separar, apaciguar, defender	Amachay.
sequía	Chiraw.
ser mágico encantado	Illa.
ser o estar	Kay.
serpiente	Amaru.
servir comida, servir	Qaray.
seso, cerebro	Ñutqu.
silbar	Sukay.
simpa, trenzas	Simpa.
sobrar o guardar comida para alguien	Chanikuy.
sofocarse	Rupapakuy.
soga de paja	Qiswa.
soga	Waska.
sol	Inti.
solo	Sapalla.
sombra	Llantu.
sombrero	Chuku.
sombrero	Ruqu.
sonaja	Chilchi.
soñar	Musquy.
sopa	Chupi.
sopa de trigo	Patachi.
sopa	Lawa.
soplador	Pukuna.
soplar	Pukuy.
sorber	Suquy.
suave	Llampu.
subir, escalar	Qispiy.
subir	Siqay.
sucio	Qanra.
sudor	Humpi.
suelto	Waya.
sufrir, padecer	Usuy.
sumar o adicionar	Yapay.
suplicar	Mañakuy.
surco	Suka.
suspirar	Anchiy.
tacaño	Maqlla.
tacaño	Waqati.
tallar	Turpay.
tallo	Tunu.
tama, corral, cerco, canchón	Kancha.
tambor pequeño, tinya	Tinya.
tapadera	Kirpana.
tapar	Kirpay.
tarántula	Apasankay.
tarde	Chisi.
tarhui, chocho	Tarwi.
tartamudo	Hakllu.
techar	Wasichay.
tejer, urdir	Away.
telaraña	Llika.
tembla	Katatatay.
temer	Manchakuy.
tender	Mastay.
tendón	Anku.
tener esperanza	Suyapakuy.
teñir	Tullpuy.
terrón	Kurpa.
testículo	Quruta.
teta	Ñuñu.
tierno, verde (inmaduro)	Llullu.
tierra	Allpa.
tierra suelta	Qallpa.
tijeras	Tikras.
tiznado	Qichinchasqa.
tizne	Qichincha.
tobillo	Wichuchu.
tocar con la mano	Llapchay.
tonto, sordo	Upa.
torcaza	Kukuli.
torcaza	Ququtuwa.
torcer lana	Kawpuy.
tormenta	Tuyu.
toro	Turu.
torrentera, aluvión	Lluqlla.
tórtola	Kullku.
tortuga	Charapa.
tos	Uhu.
tostadera	Kallana.
tostar	Hamkay.
trabajar	Llamkay.
trabajo colectivo	Minka.
tragadero	Millpu.
tragar	Millpuy.
trama	Mini.
tráquea	Tunquri.
trazar una línea, dibujar	Siqiy.
trenzar	Simpay.
trepar	Lluqay.
trigo	Chaqipa.
trigo	Tirihu.
trillar	Iray.
tristeza	Llaki.
trocar, cambiar	Chalay.
troje	Pirwa.
trompeta de caracol	Pututu.
trompeta	Kurnita.
tronar	Wakriy.
tronco	Kullu.
tuerto	Chuqru.
tumbo	Tintin.
túnica de mujer	Aqsu.
turbio	Putka.
ulcera en los labios	Lliqti.
universo, tiempo, hora	Pacha.
uno(a), único(a)	Huk.
unu, agua	Yaku.
uña	Sillu.
urdidera	Allwina.
urinario, letrina	Ispana.
vaca	Waka.
vasija de calabaza o de mate	Putu.
vagina	Chupi, raka.
valle interandino	Qichwa.
valor, precio	Chanin.
variedad de lechuza	Chusiq.
vasija, cántaro	Chatu.
vaso incaico de madera	Qiru.
venado	Taruka.
venas	Sirka.
vencedor	Atipaq.
vencer, ganar	Atipay.
vender	Rantikuy.
veneno	Miyu.
venir	Hamuy.
venus	Chaska.
ver	Rikuy.
verdad, certeza	Chiqa.
verde	Qumir.
vesícula biliar	Hayaqnin.
vicuña	Wikuña.
vivir	Kawsay.
vizcacha	Wiskacha.
volar	Paway.
voltear	Tikray.
volumen	Winara.
volver	Kutiy.
yerbas aromáticas, condimentos	Asnapa.
yerno	Masa.
yuca	Yuka, rumu.
yunta	Yunta.
zampoña	Antara.
zancudo	Wanwa.
zarigüeya, muca	Qarachupa.
zarzaparrilla	Llaqi llaqi.
zorrino, zorrillo	Añas.
zorro	Atuq.
zorzal	Chiwaku.
